 kgrid  ValNew  Policy 
    0.85 -37.8999     0.85
0.850003 -37.8996     0.85
0.850006 -37.8993     0.85
0.850009  -37.899     0.85
0.850012 -37.8987     0.85
0.850015 -37.8984     0.85
0.850018 -37.8981     0.85
0.850021 -37.8978     0.85
0.850024 -37.8975     0.85
0.850027 -37.8972     0.85
 0.85003 -37.8969     0.85
0.850033 -37.8966     0.85
0.850036 -37.8963     0.85
0.850039  -37.896     0.85
0.850042 -37.8956     0.85
0.850045 -37.8953     0.85
0.850048  -37.895     0.85
0.850051 -37.8947     0.85
0.850054 -37.8944     0.85
0.850057 -37.8941     0.85
 0.85006 -37.8938     0.85
0.850063 -37.8935     0.85
0.850066 -37.8932     0.85
0.850069 -37.8929     0.85
0.850072 -37.8926     0.85
0.850075 -37.8923     0.85
0.850078  -37.892     0.85
0.850081 -37.8917     0.85
0.850084 -37.8914     0.85
0.850087 -37.8911     0.85
 0.85009 -37.8907     0.85
0.850093 -37.8904     0.85
0.850096 -37.8901     0.85
0.850099 -37.8898     0.85
0.850102 -37.8895     0.85
0.850105 -37.8892     0.85
0.850108 -37.8889     0.85
0.850111 -37.8886     0.85
0.850114 -37.8883     0.85
0.850117  -37.888     0.85
 0.85012 -37.8877     0.85
0.850123 -37.8874     0.85
0.850126 -37.8871     0.85
0.850129 -37.8868     0.85
0.850132 -37.8865     0.85
0.850135 -37.8862     0.85
0.850138 -37.8858     0.85
0.850141 -37.8855     0.85
0.850144 -37.8852     0.85
0.850147 -37.8849     0.85
 0.85015 -37.8846     0.85
0.850153 -37.8843     0.85
0.850156  -37.884     0.85
0.850159 -37.8837     0.85
0.850162 -37.8834     0.85
0.850165 -37.8831     0.85
0.850168 -37.8828     0.85
0.850171 -37.8825     0.85
0.850174 -37.8822     0.85
0.850177 -37.8819     0.85
 0.85018 -37.8816     0.85
0.850183 -37.8813     0.85
0.850186  -37.881     0.85
0.850189 -37.8806     0.85
0.850192 -37.8803     0.85
0.850195   -37.88     0.85
0.850198 -37.8797     0.85
0.850201 -37.8794     0.85
0.850204 -37.8791     0.85
0.850207 -37.8788     0.85
 0.85021 -37.8785     0.85
0.850213 -37.8782     0.85
0.850216 -37.8779     0.85
0.850219 -37.8776     0.85
0.850222 -37.8773     0.85
0.850225  -37.877     0.85
0.850228 -37.8767     0.85
0.850231 -37.8764     0.85
0.850234 -37.8761     0.85
0.850237 -37.8758     0.85
 0.85024 -37.8755     0.85
0.850243 -37.8751     0.85
0.850246 -37.8748     0.85
0.850249 -37.8745     0.85
0.850252 -37.8742     0.85
0.850255 -37.8739     0.85
0.850258 -37.8736     0.85
0.850261 -37.8733     0.85
0.850264  -37.873     0.85
0.850267 -37.8727     0.85
 0.85027 -37.8724     0.85
0.850273 -37.8721     0.85
0.850276 -37.8718     0.85
0.850279 -37.8715     0.85
0.850282 -37.8712     0.85
0.850285 -37.8709     0.85
0.850288 -37.8706     0.85
0.850291 -37.8703     0.85
0.850294   -37.87     0.85
0.850297 -37.8696     0.85
  0.8503 -37.8693     0.85
0.850303  -37.869     0.85
0.850306 -37.8687     0.85
0.850309 -37.8684     0.85
0.850312 -37.8681     0.85
0.850315 -37.8678     0.85
0.850318 -37.8675     0.85
0.850321 -37.8672     0.85
0.850324 -37.8669     0.85
0.850327 -37.8666     0.85
